,Name,Director,Actor,Rating,Genre,Time,Release Date,anticipate Up,anticipate Down
0,데스 오브 미,대런 린 보우즈만,"매기 큐, 루크 헴스워스",청소년 관람불가,"공포, 스릴러",94,2021.02.08,18,3
1,새해전야,홍지영,"김강우, 유인나, 유연석, 이연희, 이동휘, 천두링, 염혜란, 수영, 유태오",12세 관람가,멜로/로맨스,114,2021.02.10,6821,439
2,몬스터 헌터,폴 앤더슨,"밀라 요보비치, 토니 자",12세 관람가,"액션, 모험",103,2021.02.10,397,46
3,아이,김현탁,"김향기, 류현경, 염혜란",15세 관람가,드라마,113,2021.02.10,854,81
4,해리 포터와 불의 잔,마이크 뉴웰,"다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트",12세 관람가,"판타지, 가족, 모험, 액션",156,2021.02.10,,
5,이다,파벨 포리코브스키,"아가타 트르제부초우스카, 아가타 쿠레샤, 요안나 쿨릭",15세 관람가,드라마,82,2021.02.10,,
6,살아남은 사람들,버르너바시 토트,"카롤리 하이덕, 마리 나기, 아비겔 소크",15세 관람가,"드라마, 멜로/로맨스",88,2021.02.10,61,1
7,드림빌더,킴 하겐 젠슨,,전체 관람가,"애니메이션, 모험, 가족, 판타지",80,2021.02.10,144,5
8,엘프,우테 폰 뮌쇼폴,"손선영, 원에스더",전체 관람가,애니메이션,78,2021.02.10,95,4
9,용루각2: 신들의 밤,최상훈,"지일주, 정화, 장의수, 정의욱, 서지후, 이필모",15세 관람가,미스터리,91,2021.02.10,58,26
10,운봉,장동현,"신재범, 임정민, 고태진",15세 관람가,액션,80,2021.02.10,129,91
11,워 위드 그랜파,팀 힐,"로버트 드 니로, 우마 서먼, 오크스 페글리, 롭 리글, 제인 세이모어, 크리스토퍼 월켄",12세 관람가,코미디,98,2021.02.10,909,34
12,폴리스,안느 퐁텐,"오마 사이, 페이만 마아디, 버지니아 에피라, 그레고리 가데부아",15세 관람가,"드라마, 범죄",99,2021.02.10,7,1
13,호라이즌 라인,마이클 마키마인,"알렉산더 드레이먼, 앨리슨 윌리암스",12세 관람가,스릴러,92,2021.02.10,346,33
