,movie,award,award_name,score
0,분노의 질주: 더 얼티메이트,후보,제 43회 새턴 어워즈 (최우수 SF영화상),1.5
1,분노의 질주: 더 얼티메이트,후보,제 22회 크리틱스 초이스 시상식 (SF/호러영화상),1.5
2,분노의 질주: 더 얼티메이트,후보,제 33회 로스앤젤레스 아시안 퍼시픽 영화제 (갈라 프레젠테이션),1.5
3,분노의 질주: 더 얼티메이트,후보,제 33회 로스앤젤레스 아시안 퍼시픽 영화제 (스페셜 프레젠테이션),1.5
4,분노의 질주: 더 얼티메이트,후보,제 18회 선댄스영화제 (심사위원대상(미국 드라마)),5.0
5,분노의 질주: 더 얼티메이트,후보,제 34회 샌프란시스코 국제 아시안 아메리칸 영화제 (스페셜 프레젠테이션),3.5
6,분노의 질주: 더 얼티메이트,수상,"제 40회 새턴 어워즈 (최우수 액션,모험상)",3.0
7,분노의 질주: 더 얼티메이트,후보,"제 38회 새턴 어워즈 (최우수 액션,모험상)",1.5
8,분노의 질주: 더 얼티메이트,후보,제 18회 MTV 영화 & TV 어워즈 (최고의 영화상),1.5
9,분노의 질주: 더 얼티메이트,후보,제 27회 하와이국제영화제 (American Immigrant Filmmakers),3.5
10,분노의 질주: 더 얼티메이트,후보,제 23회 선댄스영화제 (미드나잇),5.0
11,분노의 질주: 더 얼티메이트,후보,제 25회 MTV 영화 & TV 어워즈 (최고의 액션연기상),1.5
12,분노의 질주: 더 얼티메이트,수상,제 23회 MTV 영화 & TV 어워즈 (최고의 콤비상),3.0
13,분노의 질주: 더 얼티메이트,후보,제 18회 MTV 영화 & TV 어워즈 (최고의 남자배우상),1.5
14,분노의 질주: 더 얼티메이트,후보,제 25회 골든 라즈베리 시상식 (최악의 남우주연상),1.5
15,분노의 질주: 더 얼티메이트,후보,제 12회 MTV 영화 & TV 어워즈 (최고의 남자배우상),1.5
16,분노의 질주: 더 얼티메이트,수상,제 11회 MTV 영화 & TV 어워즈 (최고의 호흡상),3.0
17,분노의 질주: 더 얼티메이트,후보,제 11회 MTV 영화 & TV 어워즈 (최고의 남자배우상),1.5
18,분노의 질주: 더 얼티메이트,후보,심사위원대상(미국 드라마),1.5
19,분노의 질주: 더 얼티메이트,후보,제 77회 골든 글로브 시상식 (여우주연상-드라마),5.0
20,분노의 질주: 더 얼티메이트,후보,제 73회 영국 아카데미 시상식 (여우주연상),5.0
21,분노의 질주: 더 얼티메이트,후보,제 26회 미국 배우 조합상 (영화부문 여우주연상),1.5
22,분노의 질주: 더 얼티메이트,후보,제 92회 미국 아카데미 시상식 (여우주연상),5.0
23,분노의 질주: 더 얼티메이트,후보,제 40회 런던 비평가 협회상 (여우주연상),1.5
24,분노의 질주: 더 얼티메이트,후보,제 25회 크리틱스 초이스 시상식 (여우주연상),1.5
25,분노의 질주: 더 얼티메이트,수상,제 31회 팜스프링스 국제영화제 (인터네셔널 스타 어워드),7.0
26,분노의 질주: 더 얼티메이트,후보,제 76회 골든 글로브 시상식 (여우주연상-뮤지컬코미디),5.0
27,분노의 질주: 더 얼티메이트,후보,제 24회 크리틱스 초이스 시상식 (코미디 영화 여우주연상),1.5
28,분노의 질주: 더 얼티메이트,후보,제 44회 애니어워드 (장편 애니메이션: 감독상),1.5
29,분노의 질주: 더 얼티메이트,후보,제 21회 크리틱스 초이스 시상식 (여우주연상),1.5
30,분노의 질주: 더 얼티메이트,수상,제 25회 MTV 영화 & TV 어워즈 (최고의 여자배우상),3.0
31,분노의 질주: 더 얼티메이트,수상,제 21회 크리틱스 초이스 시상식 (액션영화 여우주연상),3.0
32,분노의 질주: 더 얼티메이트,후보,제 25회 MTV 영화 & TV 어워즈 (최고의 영웅상),1.5
33,분노의 질주: 더 얼티메이트,수상,제 42회 새턴 어워즈 (최우수 여우주연상),3.0
